# Crypto Network Metrics Seed CSV

```csv
coin_id,metric_name,metric_value,metric_text
bitcoin,max_theoretical_tps,7,
bitcoin,block_time_seconds,600,
bitcoin,theoretical_time_to_finality,3600,
bitcoin,consensus_mechanism,,Proof of Work
bitcoin,execution_environment,,Bitcoin Script UTXO
bitcoin,scaling_architecture,,Layer 1 Monolithic
ethereum,max_theoretical_tps,119,
ethereum,block_time_seconds,12,
ethereum,theoretical_time_to_finality,900,
ethereum,consensus_mechanism,,Proof of Stake
ethereum,execution_environment,,EVM Serial Execution
ethereum,scaling_architecture,,Layer 1 Modular with Layer 2 Rollups
solana,max_theoretical_tps,65000,
solana,block_time_seconds,0.4,
solana,theoretical_time_to_finality,2.5,
solana,consensus_mechanism,,Proof of History plus Proof of Stake
solana,execution_environment,,Sealevel Parallel Runtime
solana,scaling_architecture,,High Throughput Monolithic Layer 1
cardano,max_theoretical_tps,250,
cardano,block_time_seconds,20,
cardano,theoretical_time_to_finality,120,
cardano,consensus_mechanism,,Ouroboros Proof of Stake
cardano,execution_environment,,Extended UTXO
cardano,scaling_architecture,,Layer 1 with Hydra Scaling
avalanche-2,max_theoretical_tps,4500,
avalanche-2,block_time_seconds,2,
avalanche-2,theoretical_time_to_finality,2,
avalanche-2,consensus_mechanism,,Avalanche Consensus Proof of Stake
avalanche-2,execution_environment,,EVM Compatible Subnets
avalanche-2,scaling_architecture,,Subnet Based Modular Scaling
polkadot,max_theoretical_tps,1000,
polkadot,block_time_seconds,6,
polkadot,theoretical_time_to_finality,60,
polkadot,consensus_mechanism,,Nominated Proof of Stake
polkadot,execution_environment,,Substrate WASM Runtime
polkadot,scaling_architecture,,Relay Chain with Parachains
cosmos,max_theoretical_tps,10000,
cosmos,block_time_seconds,6,
cosmos,theoretical_time_to_finality,6,
cosmos,consensus_mechanism,,Tendermint Proof of Stake
cosmos,execution_environment,,Cosmos SDK
cosmos,scaling_architecture,,App Chain Modular Architecture
algorand,max_theoretical_tps,6000,
algorand,block_time_seconds,3.3,
algorand,theoretical_time_to_finality,4,
algorand,consensus_mechanism,,Pure Proof of Stake
algorand,execution_environment,,AVM Algorand Virtual Machine
algorand,scaling_architecture,,Monolithic Layer 1
aptos,max_theoretical_tps,160000,
aptos,block_time_seconds,1,
aptos,theoretical_time_to_finality,1,
aptos,consensus_mechanism,,Proof of Stake
aptos,execution_environment,,Move VM Parallel Execution
aptos,scaling_architecture,,Parallelized Monolithic Layer 1
sui,max_theoretical_tps,297000,
sui,block_time_seconds,0.5,
sui,theoretical_time_to_finality,3,
sui,consensus_mechanism,,Delegated Proof of Stake
sui,execution_environment,,Move VM Object Based Parallelism
sui,scaling_architecture,,Horizontally Scalable Layer 1
near,max_theoretical_tps,100000,
near,block_time_seconds,1,
near,theoretical_time_to_finality,2,
near,consensus_mechanism,,Proof of Stake
near,execution_environment,,WASM Runtime
near,scaling_architecture,,Nightshade Sharding
arbitrum,max_theoretical_tps,40000,
arbitrum,block_time_seconds,0.25,
arbitrum,theoretical_time_to_finality,900,
arbitrum,consensus_mechanism,,Optimistic Rollup
arbitrum,execution_environment,,EVM Compatible Rollup
arbitrum,scaling_architecture,,Ethereum Layer 2 Rollup
optimism,max_theoretical_tps,4000,
optimism,block_time_seconds,2,
optimism,theoretical_time_to_finality,900,
optimism,consensus_mechanism,,Optimistic Rollup
optimism,execution_environment,,OP Stack EVM
optimism,scaling_architecture,,Superchain Rollup Architecture
tron,max_theoretical_tps,2000,
tron,block_time_seconds,3,
tron,theoretical_time_to_finality,57,
tron,consensus_mechanism,,Delegated Proof of Stake
tron,execution_environment,,TVM Tron Virtual Machine
tron,scaling_architecture,,High Throughput Layer 1
ripple,max_theoretical_tps,1500,
ripple,block_time_seconds,4,
ripple,theoretical_time_to_finality,5,
ripple,consensus_mechanism,,RPCA Federated Consensus
