id,symbol,name,description,image_url,github_url,max_supply,consensus_type,network_layer,token_category
aave,AAVE,Aave,"Aave is a decentralized lending protocol launched in 2017 by Finnish developer Stani Kulechov. Built primarily on Ethereum, it allows users to lend and borrow crypto assets through smart contracts while introducing innovations such as flash loans and overcollateralized lending.",/images/coins/aave.png,https://github.com/aave,16000000,token,l1,governance
algorand,ALGO,Algorand,"Algorand is a proof-of-stake blockchain created in 2019 by MIT professor Silvio Micali. The network focuses on scalability, fast settlement, and low transaction fees while supporting decentralized applications, tokenization, and enterprise-grade blockchain solutions.",/images/coins/algorand.png,https://github.com/algorand,10000000000,pos,l1,native
aptos,APT,Aptos,"Aptos is a Layer 1 blockchain launched in 2022 by former Meta engineers Mo Shaikh and Avery Ching. It uses the Move programming language and a parallel execution engine to improve transaction speed, security, and scalability for decentralized applications.",/images/coins/aptos.png,https://github.com/aptos-labs,,pos,l1,native
arbitrum,ARB,Arbitrum,Arbitrum is an Ethereum Layer 2 scaling network introduced by Offchain Labs in 2021. It uses optimistic rollup technology to process transactions more efficiently while maintaining Ethereum compatibility and reducing gas fees for decentralized applications.,/images/coins/arbitrum.jpg,https://github.com/OffchainLabs,10000000000,rollup,l2,governance
avalanche-2,AVAX,Avalanche,"Avalanche is a high-performance blockchain platform launched in 2020 by Ava Labs and founded by Emin Gun Sirer. The network uses a unique consensus mechanism to provide fast finality and supports customizable subnets for decentralized finance, gaming, and enterprise applications.",/images/coins/avalanche-2.png,https://github.com/ava-labs,720000000,pos,l1,native
axie-infinity,AXS,Axie Infinity,"Axie Infinity is a blockchain gaming ecosystem created by Sky Mavis in 2018. The AXS token powers governance and rewards within the play-to-earn game where users collect, breed, and battle digital creatures called Axies.",/images/coins/axie-infinity.png,https://github.com/axieinfinity,270000000,token,l1,governance
basic-attention-token,BAT,Basic Attention Token,"Basic Attention Token was launched in 2017 by Brendan Eich, creator of JavaScript and co-founder of Mozilla. Built for the Brave browser ecosystem, BAT rewards users for viewing privacy-focused advertisements while helping creators monetize digital content.",/images/coins/basic-attention-token.png,https://github.com/brave-intl,1500000000,token,l1,erc20
binancecoin,BNB,Binance Coin,"BNB is the native token of the Binance ecosystem, launched in 2017 by the Binance exchange founded by Changpeng Zhao. It is used for trading fee discounts, payments, staking, and powering applications across the BNB Smart Chain network.",/images/coins/binancecoin.png,https://github.com/bnb-chain,200000000,pos,l1,native
bitcoin,BTC,Bitcoin,"Bitcoin is the first decentralized cryptocurrency, created in 2009 by the pseudonymous Satoshi Nakamoto. It uses proof-of-work mining and blockchain technology to enable peer-to-peer digital payments without centralized financial intermediaries.",/images/coins/bitcoin.png,https://github.com/bitcoin,21000000,pow,l1,native
bitcoin-cash,BCH,Bitcoin Cash,Bitcoin Cash is a Bitcoin fork launched in 2017 to prioritize faster and cheaper transactions through larger block sizes. The project focuses on functioning as a peer-to-peer electronic cash system for everyday payments.,/images/coins/bitcoin-cash.png,https://github.com/bitcoincashorg,21000000,pow,l1,native
